City ID,city,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,country,Date
375,morro da fumaca,55.96,-28.6508,-49.21,73,35,2.53,BR,1655120576
376,barreiras,83.91,-12.1528,-44.99,39,73,0.63,BR,1655120577
377,katobu,74.32,-4.9408,122.5276,94,97,1.59,ID,1655120578
378,rocha,47.61,-34.4833,-54.3333,81,22,2.95,UY,1655120579
379,victoria point,60.91,-27.5833,153.3,88,64,5.28,AU,1655120580
380,belmonte,77.23,-15.8631,-38.8828,70,15,3.56,BR,1655120582
381,general roca,45.7,-39.0333,-67.5833,55,100,3.09,AR,1655120583
382,touros,81.95,-5.1989,-35.4608,69,8,11.34,BR,1655120583
383,oranjemund,63.16,-28.55,16.4333,65,100,18.39,NA,1655120585
384,amboasary,78.73,-25.0333,46.3833,37,0,4.9,MG,1655120586
385,namatanai,79.34,-3.6667,152.4333,79,88,8.61,PG,1655120587
386,katherine,64.72,-14.4667,132.2667,36,71,5.75,AU,1655120588
387,neuquen,30.09,-38.9516,-68.0591,93,0,4.61,AR,1655120589
388,plettenberg bay,73.22,-34.0527,23.3716,35,100,5.86,ZA,1655120590
389,sao jose da coroa grande,78.67,-8.8978,-35.1478,78,9,1.92,BR,1655120591
390,port macquarie,47.89,-31.4333,152.9167,89,30,5.75,AU,1655119999
391,tautira,78.19,-17.7333,-149.15,69,78,20.13,PF,1655120593
392,sao joao da barra,66.29,-21.6403,-41.0511,55,100,20.45,BR,1655120002
393,nabire,76.55,-3.3667,135.4833,91,100,2.44,ID,1655120595
394,port lincoln,57.63,-34.7333,135.8667,58,92,14.79,AU,1655120596
395,dubbo,44.73,-32.25,148.6167,76,75,8.05,AU,1655120597
396,grand gaube,77.4,-20.0064,57.6608,65,28,11.99,MU,1655120598
397,la mana,71.64,-0.9333,-79.2167,96,98,0.43,EC,1655120598
398,santa maria da vitoria,82.89,-13.3947,-44.1886,36,73,2.1,BR,1655120600
399,morros,80.55,-9.4467,-46.3003,59,36,2.73,BR,1655120601
400,labuhan,80.67,-6.8844,112.2051,83,100,6.69,ID,1655120604
401,toamasina,75.2,-18.1667,49.3833,78,75,13.8,MG,1655120604
402,fuerte olimpo,52.54,-21.0415,-57.8738,47,0,1.7,PY,1655120607
403,bethanien,71.11,-26.502,17.1583,19,100,22.35,NA,1655120608
404,hervey bay,63.0,-25.2986,152.8535,79,5,6.64,AU,1655120610
405,nortelandia,60.78,-14.4547,-56.8028,56,97,3.74,BR,1655120611
406,mineiros,55.62,-17.5694,-52.5511,37,90,6.62,BR,1655120611
407,boueni,82.38,-12.9025,45.0761,69,6,10.25,YT,1655120612
408,ponto novo,77.23,-10.8628,-40.1336,67,74,4.29,BR,1655120613
409,waipawa,44.82,-41.4122,175.5153,75,32,9.15,NZ,1655120614
410,cacequi,45.23,-29.8836,-54.825,72,0,2.75,BR,1655120614
411,ambon,81.23,-3.6954,128.1814,13,40,1.14,ID,1655120616
412,camana,60.53,-16.6228,-72.7111,85,71,5.61,PE,1655120616
413,maragogi,78.58,-9.0122,-35.2225,79,8,2.15,BR,1655120617
414,auki,76.5,-8.7676,160.7034,89,91,4.47,SB,1655120618
415,presidencia roque saenz pena,44.65,-26.7852,-60.4388,62,0,5.91,AR,1655120364
416,ancud,50.23,-41.8697,-73.8203,93,100,10.0,CL,1655120620
417,saint-joseph,75.58,-21.3667,55.6167,77,86,15.61,RE,1655120620
418,comodoro rivadavia,55.26,-45.8667,-67.5,44,0,8.05,AR,1655120608
419,sawtell,48.18,-30.3833,153.1,93,40,3.44,AU,1655120623
420,kandrian,77.72,-6.2167,149.55,89,57,5.3,PG,1655120624
421,neiafu,79.81,-18.65,-173.9833,75,6,15.12,TO,1655120626
422,innisfail,60.33,-17.5333,146.0333,78,54,4.14,AU,1655120626
423,mwinilunga,80.87,-11.7358,24.4293,26,29,3.42,ZM,1655120627
424,moroni,79.79,-11.7022,43.2551,70,21,3.76,KM,1655120628
425,joao pinheiro,68.23,-17.7425,-46.1725,35,86,5.14,BR,1655120629
426,japura,76.1,-0.3167,102.35,96,96,2.35,ID,1655120629
427,cerro largo,45.16,-28.1486,-54.7381,75,0,4.36,BR,1655120630
428,luwuk,77.7,-0.9516,122.7875,87,71,4.18,ID,1655120632
429,taltal,56.52,-25.4,-70.4833,73,24,5.35,CL,1655120632
430,luganville,78.84,-15.5333,167.1667,81,66,3.15,VU,1655120633
431,taree,41.05,-31.9,152.4667,94,3,3.8,AU,1655120636
432,urucara,74.35,-2.5364,-57.76,96,99,2.37,BR,1655120638
433,cap malheureux,76.46,-19.9842,57.6142,65,32,11.99,MU,1655120639
434,alice springs,51.35,-23.7,133.8833,40,67,5.75,AU,1655120641
435,chachapoyas,50.05,-6.2317,-77.869,97,100,2.93,PE,1655120642
436,viedma,49.51,-40.8135,-62.9967,56,100,12.3,AR,1655120643
437,diego de almagro,53.24,-26.3667,-70.05,25,1,0.65,CL,1655120644
438,el triunfo,71.64,-1.9333,-79.9667,88,100,2.91,EC,1655120646
439,hualmay,61.18,-11.0964,-77.6139,84,68,4.59,PE,1655120647
440,campina grande do sul,51.53,-25.3056,-49.0553,54,0,0.56,BR,1655120648
441,kerema,79.25,-7.9631,145.7785,89,99,7.14,PG,1655120651
442,malacacheta,70.07,-17.8422,-42.0767,74,96,3.09,BR,1655120652
443,contamana,61.56,-7.3333,-75.0167,81,20,1.77,PE,1655120653
444,uyuni,30.61,-20.4597,-66.825,16,0,1.43,BO,1655120653
445,videira,42.96,-27.0083,-51.1517,75,0,0.94,BR,1655120654
446,lorengau,82.13,-2.0226,147.2712,75,87,11.63,PG,1655120450
447,kaeo,53.33,-35.1,173.7833,87,48,15.26,NZ,1655120657
448,gaspar,53.04,-26.9314,-48.9589,92,0,3.11,BR,1655120659
449,opuwo,79.07,-18.0607,13.84,22,0,8.32,NA,1655120660
450,benguela,81.97,-12.5763,13.4055,45,1,8.75,AO,1655120661
451,matamba,63.59,-8.9833,33.9667,58,57,1.79,TZ,1655120661
452,kilindoni,78.87,-7.9139,39.6668,70,53,13.98,TZ,1655120662
453,olavarria,42.57,-36.8927,-60.3225,66,80,7.58,AR,1655120663
454,launceston,38.16,-41.45,147.1667,88,8,0.0,AU,1655120664
455,colac,48.16,-38.3333,143.5833,80,98,2.19,AU,1655120664
456,nsanje,80.83,-16.92,35.262,46,7,4.94,MW,1655120666
457,christchurch,42.91,-43.5333,172.6333,75,24,9.22,NZ,1655120422
458,mocuba,74.01,-16.8392,36.9856,70,42,4.03,MZ,1655120668
459,galesong,78.82,-5.3166,119.3661,80,99,6.11,ID,1655120668
460,nchelenge,76.62,-9.3451,28.734,43,11,8.19,ZM,1655120669
461,turiacu,81.28,-1.6633,-45.3717,73,7,3.53,BR,1655120670
462,tual,81.37,-5.6667,132.75,77,100,17.69,ID,1655120672
463,mouila,82.31,-1.8685,11.0559,74,75,1.74,GA,1655120673
464,cambara,51.08,-23.0464,-50.0736,59,87,4.21,BR,1655120675
465,san rafael,45.19,-34.6177,-68.3301,50,84,5.23,AR,1655120437
466,calbuco,47.41,-41.768,-73.1273,86,100,16.06,CL,1655120677
467,carauari,69.01,-4.8828,-66.8958,85,97,3.0,BR,1655120679
468,moranbah,52.79,-22.0016,148.0466,56,0,8.79,AU,1655120680
469,ulladulla,46.71,-35.35,150.4667,81,1,5.44,AU,1655120680
470,tadine,73.2,-21.55,167.8833,89,100,13.42,NC,1655120682
471,conceicao da barra,72.72,-18.5933,-39.7322,73,98,10.6,BR,1655120683
472,livramento,74.08,-3.0254,-60.1803,94,75,6.91,BR,1655120684
473,nhulunbuy,77.61,-12.2333,136.7667,69,57,11.5,AU,1655120685
474,uberlandia,54.61,-18.9186,-48.2772,58,0,10.36,BR,1655120687
475,mbekenyera,87.35,-10.0,38.9833,29,16,4.12,TZ,1655120687
476,vallenar,52.23,-28.5708,-70.7581,57,30,2.01,CL,1655120690
477,ovalle,52.86,-30.5983,-71.2003,73,75,3.49,CL,1655120693
478,guarapari,66.88,-20.6667,-40.4975,64,100,14.72,BR,1655120695
479,san borja,57.27,-14.8167,-66.85,83,0,2.68,BO,1655120696
480,urucui,82.62,-7.2294,-44.5561,63,5,4.41,BR,1655120697
481,omboue,82.31,-1.5746,9.2618,67,93,11.12,GA,1655120698
482,pangai,78.82,-19.8,-174.35,80,46,13.29,TO,1655120699
483,quiruvilca,33.66,-7.9667,-78.2,83,83,4.74,PE,1655120700
